output file, map file, similarity rate
0_v1.png, 9.png, %80.9000015258789
0_v2.png, e.png, %92.4000015258789
0_v3.png, z.png, %93.5999984741211
1_v1.png, 2.png, %87.19999694824219
1_v2.png, p.png, %88.30000305175781
1_v3.png, 0.png, %83.0
2_v1.png, a.png, %87.9000015258789
2_v2.png, b.png, %86.0999984741211
2_v3.png, v.png, %91.19999694824219
3_v1.png, l.png, %66.0999984741211
3_v2.png, 9.png, %81.80000305175781
4_v1.png, n.png, %87.69999694824219
4_v2.png, e.png, %85.19999694824219
4_v3.png, a.png, %88.19999694824219
5_v1.png, 1.png, %96.5
5_v2.png, t.png, %87.30000305175781
5_v3.png, e.png, %88.69999694824219
6_v1.png, r.png, %86.69999694824219
6_v2.png, l.png, %66.5
7_v1.png, 1.png, %79.69999694824219
7_v2.png, 3.png, %82.5
7_v3.png, a.png, %88.69999694824219
8_v1.png, t.png, %87.0999984741211
8_v2.png, r.png, %85.0
8_v3.png, q.png, %80.80000305175781
9_v1.png, x.png, %92.80000305175781
9_v2.png, z.png, %93.19999694824219
9_v3.png, s.png, %87.0999984741211
